case,repeat,milestone,assigned_activity
OriginalDataset/BicycleManufacturing,2,order.rejected,
OriginalDataset/BicycleManufacturing,2,order.accepted,
OriginalDataset/BicycleManufacturing,2,process_instance.created,
OriginalDataset/BicycleManufacturing,2,process_instance.finished,
OriginalDataset/BicycleManufacturing,2,storehouse.informed,
OriginalDataset/BicycleManufacturing,2,engineering_department.informed,
OriginalDataset/BicycleManufacturing,2,part_list.processed,
OriginalDataset/BicycleManufacturing,2,part_list.complete,
OriginalDataset/BicycleManufacturing,2,required_quantity.checked,Task_5
OriginalDataset/BicycleManufacturing,2,part.available,
OriginalDataset/BicycleManufacturing,2,part.unavailable,
OriginalDataset/BicycleManufacturing,2,part.reserved,
OriginalDataset/BicycleManufacturing,2,part.back_ordered,
OriginalDataset/BicycleManufacturing,2,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,2,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,2,bicycle.ordered,
OriginalDataset/BicycleManufacturing,2,bicycle.assembled,
OriginalDataset/BicycleManufacturing,2,bicycle.shipped,
OriginalDataset/BicycleManufacturing,2,order.received,
OriginalDataset/BicycleManufacturing,2,order.rejected,
OriginalDataset/BicycleManufacturing,2,order.accepted,
OriginalDataset/BicycleManufacturing,2,process_instance.created,
OriginalDataset/BicycleManufacturing,2,process_instance.finished,
OriginalDataset/BicycleManufacturing,2,storehouse.informed,Task_3
OriginalDataset/BicycleManufacturing,2,engineering_department.informed,Task_3
OriginalDataset/BicycleManufacturing,2,part_list.processed,
OriginalDataset/BicycleManufacturing,2,part_list.complete,
OriginalDataset/BicycleManufacturing,2,required_quantity.checked,
OriginalDataset/BicycleManufacturing,2,part.available,
OriginalDataset/BicycleManufacturing,2,part.unavailable,
OriginalDataset/BicycleManufacturing,2,part.reserved,
OriginalDataset/BicycleManufacturing,2,part.back_ordered,
OriginalDataset/BicycleManufacturing,2,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,2,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,2,bicycle.ordered,
OriginalDataset/BicycleManufacturing,2,bicycle.assembled,
OriginalDataset/BicycleManufacturing,2,bicycle.shipped,
OriginalDataset/BicycleManufacturing,2,order.received,
OriginalDataset/BicycleManufacturing,2,order.rejected,
OriginalDataset/BicycleManufacturing,2,order.accepted,
OriginalDataset/BicycleManufacturing,2,process_instance.created,
OriginalDataset/BicycleManufacturing,2,process_instance.finished,
OriginalDataset/BicycleManufacturing,2,storehouse.informed,
OriginalDataset/BicycleManufacturing,2,engineering_department.informed,
OriginalDataset/BicycleManufacturing,2,part_list.processed,
OriginalDataset/BicycleManufacturing,2,part_list.complete,
OriginalDataset/BicycleManufacturing,2,required_quantity.checked,
OriginalDataset/BicycleManufacturing,2,part.available,
OriginalDataset/BicycleManufacturing,2,part.unavailable,
OriginalDataset/BicycleManufacturing,2,part.reserved,
OriginalDataset/BicycleManufacturing,2,part.back_ordered,
OriginalDataset/BicycleManufacturing,2,preparation_activity.in_progress,Task_0
OriginalDataset/BicycleManufacturing,2,preparation_activity.finished,Task_0
OriginalDataset/BicycleManufacturing,2,bicycle.ordered,
OriginalDataset/BicycleManufacturing,2,bicycle.assembled,
OriginalDataset/BicycleManufacturing,2,bicycle.shipped,
OriginalDataset/BicycleManufacturing,2,order.received,
OriginalDataset/BicycleManufacturing,2,order.rejected,
OriginalDataset/BicycleManufacturing,2,order.accepted,
OriginalDataset/BicycleManufacturing,2,process_instance.created,
OriginalDataset/BicycleManufacturing,2,process_instance.finished,
OriginalDataset/BicycleManufacturing,2,storehouse.informed,
OriginalDataset/BicycleManufacturing,2,engineering_department.informed,
OriginalDataset/BicycleManufacturing,2,part_list.processed,
OriginalDataset/BicycleManufacturing,2,part_list.complete,
OriginalDataset/BicycleManufacturing,2,required_quantity.checked,
OriginalDataset/BicycleManufacturing,2,part.available,
OriginalDataset/BicycleManufacturing,2,part.unavailable,
OriginalDataset/BicycleManufacturing,2,part.reserved,
OriginalDataset/BicycleManufacturing,2,part.back_ordered,
OriginalDataset/BicycleManufacturing,2,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,2,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,2,bicycle.ordered,
OriginalDataset/BicycleManufacturing,2,bicycle.assembled,Task_1
OriginalDataset/BicycleManufacturing,2,bicycle.shipped,
OriginalDataset/BicycleManufacturing,2,order.received,Task_2
OriginalDataset/BicycleManufacturing,2,order.rejected,
OriginalDataset/BicycleManufacturing,2,order.accepted,
OriginalDataset/BicycleManufacturing,2,process_instance.created,Task_2
OriginalDataset/BicycleManufacturing,2,process_instance.finished,
OriginalDataset/BicycleManufacturing,2,storehouse.informed,
OriginalDataset/BicycleManufacturing,2,engineering_department.informed,
OriginalDataset/BicycleManufacturing,2,part_list.processed,
OriginalDataset/BicycleManufacturing,2,part_list.complete,
OriginalDataset/BicycleManufacturing,2,required_quantity.checked,
OriginalDataset/BicycleManufacturing,2,part.available,
OriginalDataset/BicycleManufacturing,2,part.unavailable,
OriginalDataset/BicycleManufacturing,2,part.reserved,
OriginalDataset/BicycleManufacturing,2,part.back_ordered,
OriginalDataset/BicycleManufacturing,2,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,2,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,2,bicycle.ordered,Task_2
OriginalDataset/BicycleManufacturing,2,bicycle.assembled,
OriginalDataset/BicycleManufacturing,2,bicycle.shipped,
OriginalDataset/BicycleManufacturing,3,order.received,
OriginalDataset/BicycleManufacturing,3,order.rejected,
OriginalDataset/BicycleManufacturing,3,order.accepted,
OriginalDataset/BicycleManufacturing,3,process_instance.created,
OriginalDataset/BicycleManufacturing,3,process_instance.finished,
OriginalDataset/BicycleManufacturing,3,storehouse.informed,
OriginalDataset/BicycleManufacturing,3,engineering_department.informed,
OriginalDataset/BicycleManufacturing,3,part_list.processed,
OriginalDataset/BicycleManufacturing,3,part_list.complete,
OriginalDataset/BicycleManufacturing,3,required_quantity.checked,
OriginalDataset/BicycleManufacturing,3,part.available,
OriginalDataset/BicycleManufacturing,3,part.unavailable,
OriginalDataset/BicycleManufacturing,3,part.reserved,
OriginalDataset/BicycleManufacturing,3,part.back_ordered,Task_6
OriginalDataset/BicycleManufacturing,3,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,3,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,3,bicycle.ordered,
OriginalDataset/BicycleManufacturing,3,bicycle.assembled,
OriginalDataset/BicycleManufacturing,3,bicycle.shipped,
OriginalDataset/BicycleManufacturing,3,order.received,
OriginalDataset/BicycleManufacturing,3,order.rejected,
OriginalDataset/BicycleManufacturing,3,order.accepted,
OriginalDataset/BicycleManufacturing,3,process_instance.created,
OriginalDataset/BicycleManufacturing,3,process_instance.finished,
OriginalDataset/BicycleManufacturing,3,storehouse.informed,
OriginalDataset/BicycleManufacturing,3,engineering_department.informed,
OriginalDataset/BicycleManufacturing,3,part_list.processed,
OriginalDataset/BicycleManufacturing,3,part_list.complete,
OriginalDataset/BicycleManufacturing,3,required_quantity.checked,
OriginalDataset/BicycleManufacturing,3,part.available,
OriginalDataset/BicycleManufacturing,3,part.unavailable,
OriginalDataset/BicycleManufacturing,3,part.reserved,
OriginalDataset/BicycleManufacturing,3,part.back_ordered,
OriginalDataset/BicycleManufacturing,3,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,3,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,3,bicycle.ordered,
OriginalDataset/BicycleManufacturing,3,bicycle.assembled,
OriginalDataset/BicycleManufacturing,3,bicycle.shipped,
OriginalDataset/BicycleManufacturing,3,order.received,
OriginalDataset/BicycleManufacturing,3,order.rejected,
OriginalDataset/BicycleManufacturing,3,order.accepted,
OriginalDataset/BicycleManufacturing,3,process_instance.created,
OriginalDataset/BicycleManufacturing,3,process_instance.finished,
OriginalDataset/BicycleManufacturing,3,storehouse.informed,
OriginalDataset/BicycleManufacturing,3,engineering_department.informed,
OriginalDataset/BicycleManufacturing,3,part_list.processed,
OriginalDataset/BicycleManufacturing,3,part_list.complete,
OriginalDataset/BicycleManufacturing,3,required_quantity.checked,
OriginalDataset/BicycleManufacturing,3,part.available,
OriginalDataset/BicycleManufacturing,3,part.unavailable,
OriginalDataset/BicycleManufacturing,3,part.reserved,Task_7
OriginalDataset/BicycleManufacturing,3,part.back_ordered,
OriginalDataset/BicycleManufacturing,3,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,3,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,3,bicycle.ordered,
OriginalDataset/BicycleManufacturing,3,bicycle.assembled,
OriginalDataset/BicycleManufacturing,3,bicycle.shipped,
OriginalDataset/BicycleManufacturing,3,order.received,
OriginalDataset/BicycleManufacturing,3,order.rejected,
OriginalDataset/BicycleManufacturing,3,order.accepted,
OriginalDataset/BicycleManufacturing,3,process_instance.created,
OriginalDataset/BicycleManufacturing,3,process_instance.finished,Task_4
OriginalDataset/BicycleManufacturing,3,storehouse.informed,
OriginalDataset/BicycleManufacturing,3,engineering_department.informed,
OriginalDataset/BicycleManufacturing,3,part_list.processed,
OriginalDataset/BicycleManufacturing,3,part_list.complete,
OriginalDataset/BicycleManufacturing,3,required_quantity.checked,
OriginalDataset/BicycleManufacturing,3,part.available,
OriginalDataset/BicycleManufacturing,3,part.unavailable,
OriginalDataset/BicycleManufacturing,3,part.reserved,
OriginalDataset/BicycleManufacturing,3,part.back_ordered,
OriginalDataset/BicycleManufacturing,3,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,3,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,3,bicycle.ordered,
OriginalDataset/BicycleManufacturing,3,bicycle.assembled,
OriginalDataset/BicycleManufacturing,3,bicycle.shipped,Task_4
OriginalDataset/BicycleManufacturing,3,order.received,
OriginalDataset/BicycleManufacturing,3,order.rejected,
OriginalDataset/BicycleManufacturing,3,order.accepted,
OriginalDataset/BicycleManufacturing,3,process_instance.created,
OriginalDataset/BicycleManufacturing,3,process_instance.finished,
OriginalDataset/BicycleManufacturing,3,storehouse.informed,
OriginalDataset/BicycleManufacturing,3,engineering_department.informed,
OriginalDataset/BicycleManufacturing,3,part_list.processed,
OriginalDataset/BicycleManufacturing,3,part_list.complete,
OriginalDataset/BicycleManufacturing,3,required_quantity.checked,Task_5
OriginalDataset/BicycleManufacturing,3,part.available,Task_5
OriginalDataset/BicycleManufacturing,3,part.unavailable,Task_5
OriginalDataset/BicycleManufacturing,3,part.reserved,
OriginalDataset/BicycleManufacturing,3,part.back_ordered,
OriginalDataset/BicycleManufacturing,3,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,3,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,3,bicycle.ordered,
OriginalDataset/BicycleManufacturing,3,bicycle.assembled,
OriginalDataset/BicycleManufacturing,3,bicycle.shipped,
OriginalDataset/BicycleManufacturing,3,order.received,
OriginalDataset/BicycleManufacturing,3,order.rejected,
OriginalDataset/BicycleManufacturing,3,order.accepted,
OriginalDataset/BicycleManufacturing,3,process_instance.created,
OriginalDataset/BicycleManufacturing,3,process_instance.finished,
OriginalDataset/BicycleManufacturing,3,storehouse.informed,Task_3
OriginalDataset/BicycleManufacturing,3,engineering_department.informed,Task_3
OriginalDataset/BicycleManufacturing,3,part_list.processed,
OriginalDataset/BicycleManufacturing,3,part_list.complete,
OriginalDataset/BicycleManufacturing,3,required_quantity.checked,
OriginalDataset/BicycleManufacturing,3,part.available,
OriginalDataset/BicycleManufacturing,3,part.unavailable,
OriginalDataset/BicycleManufacturing,3,part.reserved,
OriginalDataset/BicycleManufacturing,3,part.back_ordered,
OriginalDataset/BicycleManufacturing,3,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,3,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,3,bicycle.ordered,
OriginalDataset/BicycleManufacturing,3,bicycle.assembled,
OriginalDataset/BicycleManufacturing,3,bicycle.shipped,
OriginalDataset/BicycleManufacturing,3,order.received,
OriginalDataset/BicycleManufacturing,3,order.rejected,
OriginalDataset/BicycleManufacturing,3,order.accepted,
OriginalDataset/BicycleManufacturing,3,process_instance.created,
OriginalDataset/BicycleManufacturing,3,process_instance.finished,
OriginalDataset/BicycleManufacturing,3,storehouse.informed,
OriginalDataset/BicycleManufacturing,3,engineering_department.informed,
OriginalDataset/BicycleManufacturing,3,part_list.processed,
OriginalDataset/BicycleManufacturing,3,part_list.complete,
OriginalDataset/BicycleManufacturing,3,required_quantity.checked,
OriginalDataset/BicycleManufacturing,3,part.available,
OriginalDataset/BicycleManufacturing,3,part.unavailable,
OriginalDataset/BicycleManufacturing,3,part.reserved,
OriginalDataset/BicycleManufacturing,3,part.back_ordered,
OriginalDataset/BicycleManufacturing,3,preparation_activity.in_progress,Task_0
OriginalDataset/BicycleManufacturing,3,preparation_activity.finished,Task_0
OriginalDataset/BicycleManufacturing,3,bicycle.ordered,
OriginalDataset/BicycleManufacturing,3,bicycle.assembled,
OriginalDataset/BicycleManufacturing,3,bicycle.shipped,
OriginalDataset/BicycleManufacturing,3,order.received,
OriginalDataset/BicycleManufacturing,3,order.rejected,
OriginalDataset/BicycleManufacturing,3,order.accepted,
OriginalDataset/BicycleManufacturing,3,process_instance.created,
OriginalDataset/BicycleManufacturing,3,process_instance.finished,
OriginalDataset/BicycleManufacturing,3,storehouse.informed,
OriginalDataset/BicycleManufacturing,3,engineering_department.informed,
OriginalDataset/BicycleManufacturing,3,part_list.processed,
OriginalDataset/BicycleManufacturing,3,part_list.complete,
OriginalDataset/BicycleManufacturing,3,required_quantity.checked,
OriginalDataset/BicycleManufacturing,3,part.available,
OriginalDataset/BicycleManufacturing,3,part.unavailable,
OriginalDataset/BicycleManufacturing,3,part.reserved,
OriginalDataset/BicycleManufacturing,3,part.back_ordered,
OriginalDataset/BicycleManufacturing,3,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,3,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,3,bicycle.ordered,
OriginalDataset/BicycleManufacturing,3,bicycle.assembled,Task_1
OriginalDataset/BicycleManufacturing,3,bicycle.shipped,
OriginalDataset/BicycleManufacturing,3,order.received,Task_2
OriginalDataset/BicycleManufacturing,3,order.rejected,
OriginalDataset/BicycleManufacturing,3,order.accepted,
OriginalDataset/BicycleManufacturing,3,process_instance.created,Task_2
OriginalDataset/BicycleManufacturing,3,process_instance.finished,
OriginalDataset/BicycleManufacturing,3,storehouse.informed,
OriginalDataset/BicycleManufacturing,3,engineering_department.informed,
OriginalDataset/BicycleManufacturing,3,part_list.processed,
OriginalDataset/BicycleManufacturing,3,part_list.complete,
OriginalDataset/BicycleManufacturing,3,required_quantity.checked,
OriginalDataset/BicycleManufacturing,3,part.available,
OriginalDataset/BicycleManufacturing,3,part.unavailable,
OriginalDataset/BicycleManufacturing,3,part.reserved,
OriginalDataset/BicycleManufacturing,3,part.back_ordered,
OriginalDataset/BicycleManufacturing,3,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,3,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,3,bicycle.ordered,Task_2
OriginalDataset/BicycleManufacturing,3,bicycle.assembled,
OriginalDataset/BicycleManufacturing,3,bicycle.shipped,
