model,case,target,term,negated,cause
mistral-nemotron,OriginalDataset/Model10-1,mpoo.opposing,dismissal.under_review,False,missing
mistral-nemotron,OriginalDataset/Model10-1,mpoo.confirming,dismissal.under_review,False,missing
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,file.serves_as_input,claim_documentation.put_in_file,False,missing
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,logistics_department_head.taking_insurance,parcel_insurance.taken,False,missing
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,package_label.written,good.shipped,False,low_confidence
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,parcel_insurance.taken,good.shipped,False,low_confidence
nemotron-3-super-120b,OriginalDataset/Hospital,patient.informed_consent_signed,patient.needs_additional_examination,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,patient.sample_taken,patient.informed_consent_signed,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,patient.sample_taken,appointment.arranged,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,patient.sample_taken,ward.responsible_for_sample_taking,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,examination_form.filled_out,patient.healthy,False,low_confidence
nemotron-3-super-120b,OriginalDataset/Hospital,request_form.placed,patient.needs_additional_examination,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,request_form.filled_out,patient.needs_additional_examination,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,sample.taken,patient.informed_consent_signed,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,sample.taken,ward.responsible_for_sample_taking,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,sample.prepared,patient.informed_consent_signed,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,sample.prepared,ward.responsible_for_sample_taking,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,sample.contaminated,sample.validated,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,appointment.arranged,patient.informed_consent_signed,False,missing
nemotron-3-super-120b,OriginalDataset/Hospital,ward.responsible_for_sample_taking,appointment.arranged,False,missing
nemotron-3-super-120b,OriginalDataset/HotelService,order.ready,order.submitted,False,missing
nemotron-3-super-120b,OriginalDataset/HotelService,order.delivered,order.ready,False,missing
nemotron-3-super-120b,OriginalDataset/HotelService,order.billed,order.delivered,False,missing
nemotron-3-super-120b,OriginalDataset/Hotel,wine.prepared,order.assigned_to_waiter,False,missing
nemotron-3-super-120b,OriginalDataset/Hotel,kitchen.preparing_food,order.submitted_to_kitchen,False,missing
nemotron-3-super-120b,OriginalDataset/Hotel,order_ticket.submitted,order.submitted_to_kitchen,False,missing
nemotron-3-super-120b,OriginalDataset/Hotel,order.delivered,food.prepared,False,missing
nemotron-3-super-120b,OriginalDataset/Hotel,order.delivered,wine.prepared,False,missing
nemotron-3-super-120b,OriginalDataset/Hotel,order.delivered,cart.readied,False,missing
nemotron-3-super-120b,OriginalDataset/Hotel,order.billed,order.delivered,False,missing
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.registered_with_sec,registration_statement.awaiting_approval,False,missing
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.priced,road_show.arranged,False,missing
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.offered_to_public,commitment.entered_into,False,missing
nemotron-3-super-120b,OriginalDataset/Model1-4,registration_statement.awaiting_approval,issue.handled,False,missing
nemotron-3-super-120b,OriginalDataset/Model1-4,registration_statement.approved_by_sec,registration_statement.awaiting_approval,False,missing
nemotron-3-super-120b,OriginalDataset/Model1-4,road_show.arranged,issue.compliant_with_blue_sky_laws,False,missing
nemotron-3-super-120b,OriginalDataset/Model1-4,road_show.conducted,road_show.arranged,False,missing
nemotron-3-super-120b,OriginalDataset/Model1-4,price.firmed_up,issue.compliant_with_blue_sky_laws,False,missing
nemotron-3-super-120b,OriginalDataset/Model1-4,commitment.firm,issue.priced,False,missing
nemotron-3-super-120b,OriginalDataset/Model1-4,commitment.entered_into,commitment.firm,False,missing
nemotron-3-super-120b,OriginalDataset/Model10-10,fault_detector.confirmed,fault_detector.rejected,False,missing
nemotron-3-super-120b,OriginalDataset/Model10-10,fault_detector.confirmed,fault.detected,False,missing
nemotron-3-super-120b,OriginalDataset/Model10-10,fault_detector.rejected,fault.detected,False,missing
nemotron-3-super-120b,OriginalDataset/Model10-10,fault.confirmed,fault_detector.confirmed,False,missing
nemotron-3-super-120b,OriginalDataset/Model10-10,fault.rejected,fault_detector.rejected,False,missing
nemotron-3-super-120b,OriginalDataset/Model10-10,fault.fixed,fault.confirmed,False,low_confidence
nemotron-3-super-120b,OriginalDataset/Model10-10,measuring_device.repaired,fault.fixed,False,missing
nemotron-3-super-120b,OriginalDataset/Model10-10,result.shared,measuring_device.repaired,False,missing
nemotron-3-super-120b,OriginalDataset/Model10-10,interference.resolved,result.shared,False,missing
