model,case,target,arity,status
mistral-nemotron,OriginalDataset/Hotel,guest_account.debited,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-2,computer.under_repair,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-2,computer.repaired,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-2,computer.unrepaired,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-2,repair_cost_calculation.issued,1,SATISFIED
mistral-nemotron,OriginalDataset/Model1-2,hardware_repair.in_progress,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-2,hardware_repair.complete,2,VIOLATED
mistral-nemotron,OriginalDataset/Model1-2,software_configuration.in_progress,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-2,software_configuration.complete,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-2,system_functionality_test.in_progress,1,SATISFIED
mistral-nemotron,OriginalDataset/Model1-2,system_functionality_test.in_progress,1,SATISFIED
mistral-nemotron,OriginalDataset/Model1-2,system_functionality_test.passed,1,VIOLATED
mistral-nemotron,OriginalDataset/Model1-2,system_functionality_test.failed,1,VIOLATED
mistral-nemotron,OriginalDataset/Model1-2,repair_process.ongoing,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-2,repair_process.finished,3,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-4,registration_statement.awaiting_approval,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-4,registration_statement.approved,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-4,issue.registered,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-4,issue.compliant,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-4,issue.priced,1,VIOLATED
mistral-nemotron,OriginalDataset/Model1-4,issue.bought,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-4,issue.offered,1,SATISFIED
mistral-nemotron,OriginalDataset/Model1-4,road_show.arranged,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-4,road_show.conducted,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-4,sec_clearance.received,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-4,issue_price.firmed_up,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model1-4,issue_price.fixed,1,SATISFIED
mistral-nemotron,OriginalDataset/Model1-4,firm_commitment.entered,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model10-10,fault_detector.failure_confirmed,1,SATISFIED
mistral-nemotron,OriginalDataset/Model10-10,fault_detector.failure_rejected,1,SATISFIED
mistral-nemotron,OriginalDataset/Model10-10,fault_detector.results_shared,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model10-10,measuring_device.fault_fixed,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model10-1,dismissal.under_review,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model10-1,dismissal.opposed,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model10-1,dismissal.confirmed,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model10-1,mpon.dismissed,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model10-1,mpoo.reviewing,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model10-1,mpoo.opposing,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Model10-1,mpoo.confirming,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,file.serves_as_input,2,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,action_plan.based_on_checklist,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,action_plan.used_for_negotiation,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,claim_estimate.used_for_negotiation,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,claim_estimate.informed_to_claimant,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,good.prepared_for_pickup,2,SATISFIED
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,logistics_department_head.taking_insurance,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,package_label.written,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,parcel_insurance.taken,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hospital,patient.healthy,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hospital,patient.needs_additional_examination,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hospital,patient.informed_consent_signed,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hospital,patient.sample_taken,3,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hospital,patient.diagnosed,2,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hospital,patient.therapy_prescribed,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hospital,examination_form.filled_out,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hospital,request_form.placed,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hospital,request_form.filled_out,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hospital,sample.taken,3,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hospital,sample.prepared,3,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hospital,sample.sent_to_lab,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hospital,sample.validated,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hospital,sample.used_for_analysis,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hospital,sample.contaminated,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hospital,sample.new_sample_required,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hospital,appointment.arranged,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hospital,ward.responsible_for_sample_taking,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/HotelService,order.preparing,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/HotelService,order.ready,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/HotelService,order.delivered,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/HotelService,order.billed,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/HotelService,kitchen.preparing_food,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/HotelService,cart.readied,1,VIOLATED
nemotron-3-super-120b,OriginalDataset/HotelService,guest_account.debited,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hotel,order.submitted_to_kitchen,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hotel,order.assigned_to_waiter,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hotel,food.prepared,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hotel,wine.fetched_from_cellar,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hotel,wine.prepared,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hotel,cart.readied,1,SATISFIED
nemotron-3-super-120b,OriginalDataset/Hotel,kitchen.preparing_food,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hotel,order_ticket.submitted,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hotel,order.delivered,3,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Hotel,order.billed,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.registered_with_sec,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.compliant_with_blue_sky_laws,1,VIOLATED
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.priced,2,VIOLATED
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.priced,2,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.offered_to_public,2,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model1-4,registration_statement.awaiting_approval,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model1-4,registration_statement.approved_by_sec,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model1-4,road_show.arranged,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model1-4,road_show.conducted,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model1-4,price.firmed_up,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model1-4,price.fixed,1,VIOLATED
nemotron-3-super-120b,OriginalDataset/Model1-4,commitment.firm,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model1-4,commitment.entered_into,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model10-10,fault_detector.confirmed,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model10-10,fault_detector.confirmed,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model10-10,fault_detector.rejected,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model10-10,fault.confirmed,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model10-10,fault.rejected,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model10-10,fault.fixed,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model10-10,measuring_device.repaired,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model10-10,result.shared,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model10-10,interference.resolved,1,UNRESOLVABLE
nemotron-3-super-120b,OriginalDataset/Model10-1,dismissal.reviewed,1,VIOLATED
nemotron-3-super-120b,OriginalDataset/Model10-1,dismissal.opposed,1,VIOLATED
nemotron-3-super-120b,OriginalDataset/Model10-1,dismissal.confirmed,1,VIOLATED
