model,case,tau,SATISFIED,VIOLATED,UNRESOLVABLE,verdict
nemotron-3-super-120b,OriginalDataset/Hospital,0.5,11,0,14,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/HotelService,0.2,3,1,3,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/HotelService,0.25,3,1,3,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/HotelService,0.3,3,1,3,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/HotelService,0.35,3,1,3,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/HotelService,0.4,3,0,4,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/HotelService,0.45,3,0,4,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/HotelService,0.5,3,0,4,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hotel,0.2,5,0,7,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hotel,0.25,5,0,7,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hotel,0.3,5,0,7,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hotel,0.35,5,0,7,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hotel,0.4,5,0,7,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hotel,0.45,5,0,7,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hotel,0.5,5,0,7,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Model1-4,0.2,0,6,10,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model1-4,0.25,0,6,10,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model1-4,0.3,0,6,10,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model1-4,0.35,0,6,10,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model1-4,0.4,0,2,14,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model1-4,0.45,0,0,16,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Model1-4,0.5,0,0,16,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Model10-10,0.2,0,1,8,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Model10-10,0.25,0,1,8,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Model10-10,0.3,0,1,8,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Model10-10,0.35,0,0,9,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Model10-10,0.4,0,0,9,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Model10-10,0.45,0,0,9,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Model10-10,0.5,0,0,9,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Model10-1,0.2,0,3,0,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model10-1,0.25,0,3,0,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model10-1,0.3,0,3,0,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model10-1,0.35,0,3,0,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model10-1,0.4,0,3,0,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model10-1,0.45,0,2,1,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model10-1,0.5,0,2,1,NOT_FAITHFUL
